path	line	column	diagnostic
src/ra/wolapiob.cc	92	1	constructor does not initialize these fields: pNetUtil, dwNetUtilAdvise, pNetUtilSink, szLadderServerHost, iLadderServerPort, szGameResServerHost1, iGameResServerPort1, szGameResServerHost2, iGameResServerPort2, LastUpdateChannelCallLevel, szMyName, szMyRecord, szMyRecordAM, szChannelListTitle, szChannelNameCurrent, szChannelReturnOnGameEnterFail, GameInfoCurrent, bEnableNewAftermathUnits, hresPatchResults, bConnectionDown, bGameServer, TournamentOpponentIP, szWebBrowser, bDisconnectPingingCompleted, iDisconnectPingCurrent, DisconnectPingResult_Server, DisconnectPingResult_Opponent, szExternalPager, pILChannels, fLatencyToIconWidth, iLatencyIconWidth, pChatSaveLast
src/ra/wolapiob.cc	1491	9	uninitialized record type: 'inaddrUser'
src/ra/wolapiob.cc	2130	3	uninitialized record type: 'si'
src/ra/wolapiob.cc	2131	3	uninitialized record type: 'pi'
src/ra/wolapiob.cc	3226	7	uninitialized record type: 'inaddr'
src/ra/wolapiob.h	99	8	constructor does not initialize these fields: iGameType, szName, szURL
src/ra/wolapiob.h	144	8	constructor does not initialize these fields: szFile
src/ra/wolapiob.h	152	8	constructor does not initialize these fields: szText, next
src/ra/wspipx.cc	73	1	constructor does not initialize these fields: BroadcastNet, BroadcastNode, MyNode
src/ra/wsproto.cc	111	1	constructor does not initialize these fields: ReceiveBuffer, ConnectStatus
src/ra/wspudp.cc	166	3	uninitialized record type: 'ling'
src/ra/wspudp.cc	167	3	uninitialized record type: 'addr'
src/ra/wspudp.cc	319	3	uninitialized record type: 'addr'
src/sdllib/drawbuff.cc	1002	1	constructor does not initialize these fields: Offset, Width, Height, XAdd, XPos, YPos, Pitch, LockCount
src/sdllib/drawbuff.cc	1073	1	constructor does not initialize these bases: GraphicViewPortClass
src/sdllib/file.cc	157	3	uninitialized record type: 'stat_buf'
src/sdllib/file.cc	249	3	uninitialized record type: 'fsbuf'
src/sdllib/font.h	81	5	uninitialized record type: 'header'
src/sdllib/font_test.cc	63	3	uninitialized record type: 'header'
src/sdllib/keyboard.cc	20	1	constructor does not initialize these fields: Buffer
src/sdllib/net_select.cc	37	3	uninitialized record type: 'info'
src/sdllib/net_select.cc	76	3	uninitialized record type: 'timeout'
src/sdllib/timer.cc	63	1	constructor does not initialize these fields: DelayTime
src/sdllib/wincomm.h	72	7	constructor does not initialize these fields: SerialBuffer, SerialBufferReadPtr, SerialBufferWritePtr, DialingMethod
src/sdllib/wincomm.h	74	3	constructor does not initialize these fields: SerialBuffer, SerialBufferReadPtr, SerialBufferWritePtr, DialingMethod
src/sdllib/ww_audio.cc	63	8	constructor does not initialize these fields: raw_volume
src/sdllib/ww_mouse.cc	94	1	constructor does not initialize these fields: MouseXHot, MouseYHot, PrevCursor
src/td/abstract.cc	52	1	constructor does not initialize these fields: IniName
src/td/abstract.h	77	3	constructor does not initialize these fields: IsActive
src/td/base.h	58	3	constructor does not initialize these fields: Type, Coord
src/td/base.h	76	3	constructor does not initialize these fields: House
src/td/bdata.cc	3577	1	constructor does not initialize these fields: Anims, BuildupData
src/td/ccfile.h	121	3	constructor does not initialize these fields: FromDisk, Pointer, Start, Position, Length
src/td/cdata.cc	1242	1	constructor does not initialize these fields: FullName
src/td/cell.h	267	3	constructor does not initialize these fields: IsPlot, IsCursorHere, IsMapped, IsVisible, IsTrigger, IsWaypoint, IsRadarCursor, IsFlagged, TType, TIcon, Overlay, OverlayData, Smudge, SmudgeData, Owner, InfType, OccupierPtr, Overlappers, Flag, Land
src/td/cellvalues.cc	4	1	constructor does not initialize these fields: Flag
src/td/combuf.cc	78	1	constructor does not initialize these fields: DelaySum, NumDelay, MeanDelay, MaxDelay, SendCount, SendTotal, ReceiveCount, ReceiveTotal, DebugOffset, DebugSize, DebugNames, DebugMaxNames
src/td/dial8.cc	76	1	constructor does not initialize these fields: FacePoint, FaceLine
src/td/display.cc	207	1	constructor does not initialize these fields: Theater, TacLeptonWidth, TacLeptonHeight, TacPixelX, TacPixelY, DesiredTacticalCoord, IsShadowPresent, BandX, BandY, NewX, NewY
src/td/edit.cc	102	1	constructor does not initialize these fields: MaxLength, Length
src/td/event.cc	139	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	163	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	185	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	203	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	230	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	255	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	285	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	315	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	345	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.cc	372	1	constructor does not initialize these fields: IsExecuted, MPlayerID, Data
src/td/event.h	216	3	constructor does not initialize these fields: Type, Frame, ID, IsExecuted, MPlayerID, Data
src/td/foot.cc	140	1	constructor does not initialize these fields: Path
src/td/foot.cc	200	1	constructor does not initialize these fields: Path
src/td/ftimer.h	59	3	constructor does not initialize these fields: Started, DelayTime
src/td/gadget.h	108	3	constructor does not initialize these fields: X, Y, Width, Height, IsToRepaint, IsSticky, IsDisabled, Flags
src/td/goptions.h	63	3	constructor does not initialize these fields: OptionWidth, OptionHeight, OptionX, OptionY, ButtonWidth, OButtonHeight, CaptionYPos, ButtonY, Border1Len, Border2Len, ButtonResumeY
src/td/hdata.cc	222	1	constructor does not initialize these fields: Suffix
src/td/help.cc	99	1	constructor does not initialize these fields: HelpX, HelpY, HelpWidth, DrawX, DrawY
src/td/idata.cc	1448	1	constructor does not initialize these fields: DoControls
src/td/init.cc	431	3	uninitialized record type: 'state'
src/td/ipxaddr.cc	77	1	constructor does not initialize these fields: NetworkNumber, NodeAddress
src/td/ipxaddr.cc	111	1	constructor does not initialize these fields: NetworkNumber, NodeAddress
src/td/ipxaddr.cc	139	1	constructor does not initialize these fields: NetworkNumber, NodeAddress
src/td/ipxconn.cc	103	1	constructor does not initialize these fields: ImmediateAddress, Name
src/td/ipxgconn.cc	82	1	constructor does not initialize these fields: BridgeNet, BridgeNode
src/td/ipxgconn.h	72	9	constructor does not initialize these fields: Header, ProductID
src/td/ipxmgr.cc	107	1	constructor does not initialize these fields: Connection, PacketLen, Handler, ListenECB, FirstHeaderBuf, FirstDataBuf, SendECB, SendHeader, SendBuf
src/td/link.cc	68	1	constructor does not initialize these fields: Next, Prev
src/td/loaddlg.cc	559	3	uninitialized record type: 'find_state'
src/td/map.cc	952	5	uninitialized record type: 'temp'
src/td/map.h	56	3	constructor does not initialize these fields: MapCellX, MapCellY, MapCellWidth, MapCellHeight, TotalValue, XSize, YSize, Size, TiberiumGrowth, TiberiumGrowthCount, TiberiumSpread, TiberiumSpreadCount, TiberiumScan, IsForwardScan
src/td/mapedit.cc	119	1	constructor does not initialize these fields: Objects, GrabOffset, LastClickTime, NumType, TypeOffset, CurTeam, GDIButton, NODButton, NeutralButton, Multi1Button, Multi2Button, Multi3Button, Multi4Button, MissionList, HealthGauge, FacingDial, MapArea, HealthText, BaseGauge, BaseLabel
src/td/mouse.cc	262	1	constructor does not initialize these fields: IsSmall, Frame
src/td/msglist.cc	88	1	constructor does not initialize these fields: Width
src/td/nodename.h	9	16	constructor does not initialize these fields: Name, Game, Player
src/td/noseqcon.cc	83	1	constructor does not initialize these fields: NumRecNoAck, NumRecAck, NumSendNoAck, NumSendAck, LastSeqID, LastReadID
src/td/nullmgr.cc	144	1	constructor does not initialize these fields: EchoCount, RXSize, RXCount
src/td/object.cc	152	1	constructor does not initialize these fields: RadarIcon
src/td/odata.cc	631	1	constructor does not initialize these fields: FullName
src/td/power.cc	87	1	constructor does not initialize these fields: PowX, PowY, PowWidth, PowHeight, PowLineSpace, PowLineWidth, IsActive
src/td/queue.h	137	1	constructor does not initialize these fields: Head, Tail
src/td/radar.cc	147	1	constructor does not initialize these fields: RadX, RadOffX, RadY, RadOffY, RadWidth, RadHeight, RadIWidth, RadIHeight, RadPWidth, RadPHeight, DoesRadarExist, IsRadarActivating, IsRadarDeactivating, RadarAnimFrame, RadarX, RadarY, RadarCell, BaseX, BaseY, RadarWidth, RadarCellWidth, RadarHeight, RadarCellHeight, ZoomFactor, PixelStack
src/td/rawfile.h	223	1	constructor does not initialize these fields: Rights
src/td/score.cc	295	1	constructor does not initialize these fields: Stage
src/td/score.cc	581	1	constructor does not initialize these fields: BlitListo, Count
src/td/sdata.cc	203	1	constructor does not initialize these fields: FullName
src/td/shapebtn.cc	67	1	constructor does not initialize these fields: ShapeData
src/td/shapebtn.cc	95	1	constructor does not initialize these fields: ShapeData
src/td/sidebar.cc	196	1	constructor does not initialize these fields: SideX, SideY, SideBarWidth, SideWidth, SideHeight, TopHeight, MaxVisible, ButtonOneWidth, ButtonTwoWidth, ButtonThreeWidth, ButtonHeight
src/td/sidebar.cc	1040	1	constructor does not initialize these fields: ObjectWidth, ObjectHeight, StripWidth, LeftEdgeOffset, ButtonSpacingOffset, X, Y, ID, IsToRedraw, Flasher, Scroller, Buildables
src/td/sidebar.h	137	5	constructor does not initialize these fields: ObjectWidth, ObjectHeight, StripWidth, LeftEdgeOffset, ButtonSpacingOffset, X, Y, ID, IsToRedraw, IsBuilding, IsScrollingDown, IsScrolling, Flasher, TopIndex, Scroller, Slid, BuildableCount, Buildables
src/td/slider.cc	76	1	constructor does not initialize these fields: Thumb, ThumbSize, ThumbStart
src/td/sounddlg.h	112	3	constructor does not initialize these fields: Option_Width, Option_Height, Option_X, Option_Y, Listbox_X, Listbox_Y, Listbox_W, Listbox_H, Button_Width, Button_X, Button_Y, Stop_X, Stop_Y, Play_X, Play_Y, OnOff_Width, Shuffle_X, Shuffle_Y, Repeat_X, Repeat_Y, MSlider_X, MSlider_Y, MSlider_W, MSlider_Height, FXSlider_X, FXSlider_Y, FXSlider_W, FXSlider_Height
src/td/tab.cc	79	1	constructor does not initialize these fields: Eva_Width, Tab_Height
src/td/tcpip.cc	104	1	constructor does not initialize these fields: ListenSocket, ConnectSocket, UDPSocket, ClientIPAddress, ReceiveBuffer, IsServer, HostAddress, ConnectStatus, UDPIPAddress, ReceiveBuffers, TransmitBuffers, TXBufferHead, TXBufferTail, RXBufferHead, RXBufferTail
src/td/tcpip.cc	370	3	uninitialized record type: 'addr'
src/td/tcpip.cc	504	3	uninitialized record type: 'addr'
src/td/tcpip.cc	586	3	uninitialized record type: 'ling'
src/td/tdata.cc	607	1	constructor does not initialize these fields: FullName
src/td/txtlabel.cc	63	1	constructor does not initialize these fields: CRC
src/td/type.h	240	3	constructor does not initialize these fields: IniName, Name
src/td/udata.cc	1272	1	constructor does not initialize these fields: MaxSize
src/tech/b64straw.h	54	3	constructor does not initialize these fields: CBuffer, PBuffer
src/tech/blowfish.h	55	7	constructor does not initialize these fields: P_Encrypt, P_Decrypt, bf_S
src/tech/blowfish.h	57	3	constructor does not initialize these fields: P_Encrypt, P_Decrypt, bf_S
src/tech/blowpipe.h	54	3	constructor does not initialize these fields: Buffer
src/tech/blwstraw.h	57	3	constructor does not initialize these fields: Buffer
src/tech/cdfile.cc	88	3	uninitialized record type: 'state'
src/tech/field.cc	47	1	constructor does not initialize these fields: ID
src/tech/field.cc	56	1	constructor does not initialize these fields: ID
src/tech/field.cc	65	1	constructor does not initialize these fields: ID
src/tech/field.cc	74	1	constructor does not initialize these fields: ID
src/tech/field.cc	83	1	constructor does not initialize these fields: ID
src/tech/field.cc	92	1	constructor does not initialize these fields: ID
src/tech/field.cc	101	1	constructor does not initialize these fields: ID
src/tech/field.cc	110	1	constructor does not initialize these fields: ID
src/tech/int.h	63	3	constructor does not initialize these fields: reg
src/tech/int.h	64	3	constructor does not initialize these fields: reg
src/tech/int.h	356	5	constructor does not initialize these fields: table
src/tech/lcwpipe.cc	66	1	constructor does not initialize these fields: BlockHeader
